id,text,rating
103,"*Chicago covers up sexual assault*

NHL: Ahhh that’s no biggie. Fine ‘em a couple million and let them select a generational talent the same year. 

*Sens mess up a bureaucratic process that the NHL should be in charge of anyways*

NHL: woah, woah! You’ve crossed the line!",
104,"New asteroid paper alert!  And yes, I'm a co-author. :)

""Detection of Molecular H2O on Nominally Anhydrous Asteroids"" by Arredondo et al., in the Planetary Science Journal reports just what it says in the title!  Abstract is included below as a screenshot.  🧪🔭

iopscience.iop.org/article/10.3...",
105,"sometimes people ask me why i left academia, and the actual answer is that i got tired of watching old academics desperately fight to stay relevant, so i decided to make myself irrelevant on my own terms",
106,"Beef on Weck. Roast beef on a kummelweck roll, a roll that is topped with kosher salt and caraway seeds. The meat on the sandwich is traditionally served rare, thin cut, with the top bun getting a dip in jus and spread with horseradish.

I've also made it with venison backstrap - yum!",
107,"A composition from last night of the Cygnus Loop, a giant supernova remnant. It's so big in the sky that 6 full moons fit across it. 4 hour integration.",
108,"“A deal of extraordinary scope” 

“Unprecedented provisions for consent and compensation that will protect members from the threat of AI”

❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥",
109,"AI used, in whole or in part, of artistic creations, is completely incompatible with belonging in any sort of art show.

That is my opinion. And that is all I will say on the matter.",
110,"With both poles observing unusually low sea ice conditions, global sea ice extent is the 2nd lowest on record (after 2016) for today's date...

+ More sea ice graphics available at zacklabe.com/global-sea-i...
+ Data from nsidc.org/data/seaice_...",
111,"Seeing as I’m here I guess I could do a heartfelt book plug

But it’s the evening and I’m tired so I’ll just say, preorder the bloody thing here… 

amzn.eu/d/02xom0v",
112,"If you are looking for a slightly spooky 👻 🎃📖 read this month, with a hint of magic 🧙🏻‍♀️🐈‍⬛ and a touch of romance ❤️ then check out this novella by @user  📚

“Something Wicked”
by Louise Marley",
113,The biggest threat to research integrity in academic medicine is that everyone is being asked to do way too many things at any given time.,
114,"Here’s posting picture of the day for Friday besties 

It’s Chrysanthemums from yesteryear.Hope you love them 💕💕💕

#gardening #flowers #autumn",
115,"Ali Farka Touré with   
Ry Cooder - Ai Du (audio) 
Talking Timbuktu, 1994 

youtube.com/watch?v=xTIp-KARF14&si=Es_qZOjeUnp6a3Ft",
116,"#AlmeriaMovieSet 🏰 19/20
The Amazons Fortress, drawn by Mario Garbuglia, built by Julio Molina near the current Monsul beach car park for “War Goddess” aka The Amazons aka Le guerriere dal seno nudo by Terence Young (1973) Cabo De Gata 🌵 Almeria 📽️ Filmsky",
117,"i am going to vote for brandon in this years election. 

not the current president joe brandon. i’m just going to write the name “Brandon” and hope for the best",
118,"Lewes Dam and the Yukon River

(Merry Christmas you filthy animals)

Fuji GS645S 
Fuji PRO400H
The Yukon
#believeinfilm
#filmphotography",
119,"You wanna know something cool they don't tell you about working out?
You can do the stuff you want to and you don't really have to do the stuff you hate.
If no one has told you yet and the idea appeals to you- you are allowed to lift things and get strong and muscular.
Women too. Especially women.",
120,"Huge congrats to India on a successful launch for their Chandrayaan-3 mission, now on its way to the Moon!",
121,"""I Literally Didn't Make That Game and I Don't Know Why You're Asking Me About It"": Miyamoto Reflects on Call of Duty: Black Ops 4",
122,"An increasingly common refrain among teachers at my school is ""A.I. is here, whether we like it or not, so we need to teach our students how to use it,"" and I'm finding it difficult to argue against that line of reasoning without sounding like an out of touch luddite. It's very frustrating.",
123,"Via LOLGOP:

Unemployment claims this week are 187,000, one of lowest numbers ever recorded & nearly a record low per capita.

Maybe you're not impressed with going from record high claims under Trump to record lows under Biden.

But it is remarkable that the number is lower now than BEFORE pandemic",
124,"I loved the growth shown by the protagonist of CONFESSIONS OF A FORTY-SOMETHING F**K UP and can’t wait to see what happens in the next book

Read my full review: readeratworkblog.wordpress.com/2023/08/28/b...

Both books are out now! #bookbloggers",
125,"“In August the unemployment rate was 3.8%, close to a 50-year low. But the poll found that 51% wrongly believe that unemployment is nearing a 50-year high rather than those who believe it’s actually low (49%).” 📰",
126,"My last post tonight is a real question.

I just saw President Biden say: see pic

How will you feel if he doesn't?
I hope he does. For the record.
Will you excuse him if he doesn't?",
127,"In the latest development in a years-long saga to build some damn bus lanes in Indianapolis, the state of Indiana just banned bus lanes",
128,I think Lady Bird slightly underwhelmed me upon first release because it didn't magically hit me where I live out of nowhere like Mistress America (the greatest film of all time) did. But I have not stopped thinking about it since 2018. A miracle earworm of a film.,
129,"This day in history. 1610. Galileo discovered four of Jupiter's moons naming them Io, Europa, Beyoncé, and Kevin. It's easy to forget about Kevin.",
130,"Playing with Ricky Davis, JR Smith and DLo over the course of his career ensured LeBron would be supremely patient at every stage of fatherhood.",
131,"next ARC is the author who started my review career actually, haha! I signed up to Netgalley to get my hands on the Winternight trilogy finale many moons ago.
Now Katherine Arden is back with a supernatural WWI story - The Warm Hands of Ghosts, out Feb 13
#booksky💙📚",
132,"#MosaicMonday

Our hearts are breaking for all the suffering. Especially for the suffering of children. They are loved each and every one.

This mosaic detail shows a child with a puppy and likely dates to c. C6th CE

🏛 Great Palace Mosaic Museum, Istanbul
📸 Ard Hesselin
🏺ClassicsBluesky",
133,"Honestly, I would live a very happy life if I never heard another word about shareholders/board members in the games industry.

Capitalism ruins fucking everything.",
134,i lost 10 more pounds since the end of october it has been concluded after weighing myself today. i do think i’m going to die sometime in the next year or two and i’ve really been working on making peace with it. there are just too many organs starting to collapse and too many things going wrong.,
135,"Gothic historical fiction?! Yes please! Super happy to have been sent this proof of #TheBeholders by Hester Musson, coming 2024 from 4th Estate. I’m really looking forward to reading it!",
136,"Do you need some beautiful new pics of face-on spiral galaxies? 

Of course you do. 

science.nasa.gov/missions/web...",
137,"This glassware was, incredibly, pulled from the wreck of a Roman ship at the end of July. It is in near perfect condition. The wreck lies 350m below the surface between Italy’s Capraia Island & NE Corsica, and robot vehicles were used to retrieve the pieces. Astonishing

📷Manuel Anó
🏺AncientBlueSky",
138,"It’s Monday, and we all need a bit of inspiration 😌

This was from when I could feel the pump from my workout.",
139,“the unemployment rate is low” doesn’t mean much when you’re in an industry that sees weekly layoffs. it doesn’t mean much when you look at the ways people are often employed (independent contractor/permalance instead of full-time jobs with benefits). this isn’t “vibes-based”,
140,"Today we pledge to vote for our Potus Joe Biden because he is a compassionate and wise American leader that we can all TRUST.

🚫You CANNOT vote for ANY REPUBLICANS if you want laws that safeguard the rights of all Americans and uphold democracy🚫

youtu.be/GOQf1nENBMA?...",
141,"“What is the environmental impact of AI on our planet, and what colonial impulses does this technology enable? Episode Five zooms out and up with leading AI researcher Kate Crawford, technology writer Arthur Holland Michel, and photographer Richard Misrach …”

carnegieart.org/resource/mir...",
142,"Archaeologists Excavating the Tomb of Egypt’s First Female Pharaoh Found Hundreds of Jars Still Holding Remnants of Wine 
 news.artnet.com/art-world/eg...",
143,"AWW YEAH BIDEN! Let's GET some TRAINS! $8.2 BILLION for High-Speed Rail and new Passenger Rail Lines! 

That's in addition to $16.4 billion on the Northeast Corridor, $1.4 billion for rail safety projects, and $570 million to upgrade or mitigate railroad crossings. 

SHORTLINK - mnky.us/3RAf20C",
144,"I took a Royal Canal break for a #StetWalk on a long drive today. And who did I see just as I arrived only my old friend the #heron, flying over the trees towards the sunset (disturbed, I think, by a dog)? @user",
145,"I was curious if Americans could identify exactly how old Biden and Trump are. As it turns out, they generally could.",
146,"Have I shared this here yet? You may be seeing this badge crop up around the internet. It's free for anyone (not using AI) to use for their crowdfunding, website, blog, packaging... Whatever to help affirm you're proudly AI free!

Get it here:

#NoAI #Art

I also have stickers if in shop!",
147,"Australia's greenhouse gas emissions are slightly rising, and have been for the tenure so far of centre-left PM Anthony Albanese",
148,"On the one hand, Nintendo’s legal department is horrible anti-consumer nonsense, on the other hand it hurts competitive Smash players, so who can say if it’s good or not",
149,"When the CD craze was big and going to Sam Goody was the hot thing to do in the 90’s…what was your first CD that you ever purchased ? I bought Tragic Kingdom by No Doubt , and the original Scooby Doo soundtrack album as a kid in the early 90’s. I was born in ‘88.",
150,"Laying on the floor with a pet is one of the best things. What goes through their mind? Oh look this large ape is on the ground I will sit on it. Maybe lick it.

Moppet uses me as a stand to sit up and look around. Satisfied, she sits on my butt.",
151,if you have a mild allergy to your cat that you don't want getting any worse the best advice I can pass along is aggressively lint roll your underwear the second you take them out of the dryer. keeping cat hair out of your eyes and nose is obvious but most people dont even consider their other Holes,
152,"Made some smashed potatoes with the toddler. Super easy and fun sidedish and ofc she loved hitting the potatos with a rolling pin.
Curry + bay leaves, salt, garlic, parsley, curcuma 
@user",
153,Its that time again.. just relax and look at the cat pictures.. just relax you are entering the kitty zone..,
154,"people - idk about this climate change thing

me - THE FUCKING NORTHWEST FUCKING PASSAGE HAS BEEN OPEN FOR FIFTEEN FUCKING YEARS, WE HAVE LITERALLY BEEN LOOKING FOR THAT EVERY SUMMER FOR LITERALLY SIX HUNDRED FUCKING YEARS AND WE NEVER FOUND IT UNTIL THE 2000S SO WE *KNOW* IT WAS NEVER THERE BEFORE",
155,The winter bulk is definitely kicking off. Up to 218 lbs from 205 lbs. I had been stuck at 205 for so long I didn’t think I would be able to break past it.,
156,"It's the season when students email to ask if I can calculate for them exactly how many exam marks they need in order to pass the module.

As they are supposed to be maths students, the question rarely bodes well.",
157,Watched Tremors on SyFy and it still holds up. A simple premise executed in brilliant B-movie fashion. Imagine trying to get that made today.,
158,"James Morrison's fiction recommendations are second to none, so if you like reading I urge you to check out his latest list of 100 short masterpieces. @user 

causticcovercritic.blogspot.com/2023/09/100-...",
159,"Really enjoyed North Woods by Daniel Mason. The novel charts the 400-year history of a house in Massachusetts.  Constantly surprising, wonderfully assured prose seemingly capable of anything. Vibrant characters, memorable scenes,  funny, emotional, surreal. Thanks for the rec @user",
160,"White Roman Glass Pendant
Ancient fragment of opalescent white Roman glass with blue patina set in a sterling silver pendant.

sorcerersworkbench.etsy.com/listing/1273...

#Jewelry #bsnm",
